"question_id","role","question_text","category","is_image","image_url","assessment_id","aspect_id"
"358","va_2","18",NULL,NULL,NULL,"2","6"
"359","va_2","19",NULL,NULL,NULL,"2","6"
"360","va_2","20",NULL,NULL,NULL,"2","6"
"361","va_2","21",NULL,NULL,NULL,"2","6"
"362","va_2","22",NULL,NULL,NULL,"2","6"
"363","va_2","23",NULL,NULL,NULL,"2","6"
"364","va_2","24",NULL,NULL,NULL,"2","6"
"365","va_2","25",NULL,NULL,NULL,"2","6"
"366","va_2","26",NULL,NULL,NULL,"2","6"
"367","va_2","27",NULL,NULL,NULL,"2","6"
"368","va_2","28",NULL,NULL,NULL,"2","6"
"369","va_2","29",NULL,NULL,NULL,"2","6"
"370","va_2","30",NULL,NULL,NULL,"2","6"
"371","va_2","31",NULL,NULL,NULL,"2","6"
"372","va_2","32",NULL,NULL,NULL,"2","6"
"373","va_2","33",NULL,NULL,NULL,"2","6"
"374","va_2","34",NULL,NULL,NULL,"2","6"
"375","va_2","35",NULL,NULL,NULL,"2","6"
"376","va_2","36",NULL,NULL,NULL,"2","6"
"377","va_2","37",NULL,NULL,NULL,"2","6"
"378","va_2","38",NULL,NULL,NULL,"2","6"
"379","va_2","39",NULL,NULL,NULL,"2","6"
"380","va_2","40",NULL,NULL,NULL,"2","6"
"381","va_2","41",NULL,NULL,NULL,"2","6"
"382","va_2","42",NULL,NULL,NULL,"2","6"
"383","va_2","43",NULL,NULL,NULL,"2","6"
"384","va_2","44",NULL,NULL,NULL,"2","6"
"385","va_2","45",NULL,NULL,NULL,"2","6"
"386","va_2","46",NULL,NULL,NULL,"2","6"
"387","va_2","47",NULL,NULL,NULL,"2","6"
"388","va_2","48",NULL,NULL,NULL,"2","6"
"389","va_2","49",NULL,NULL,NULL,"2","6"
"390","va_2","50",NULL,NULL,NULL,"2","6"
"391","va_2","51",NULL,NULL,NULL,"2","6"
"392","va_2","52",NULL,NULL,NULL,"2","6"
"393","va_2","53",NULL,NULL,NULL,"2","6"
"394","va_2","54",NULL,NULL,NULL,"2","6"
"395","va_2","55",NULL,NULL,NULL,"2","6"
"396","va_2","56",NULL,NULL,NULL,"2","6"
"397","va_2","57",NULL,NULL,NULL,"2","6"
"398","va_2","58",NULL,NULL,NULL,"2","6"
"399","va_2","59",NULL,NULL,NULL,"2","6"
"400","va_2","60",NULL,NULL,NULL,"2","6"
"401","va_3","Saya pernah mengatasi hambatan untuk menaklukkan tantangan penting.",NULL,NULL,NULL,"3","7"
"402","va_3","Ide dan proyek baru terkadang mengalihkan perhatian saya dari proyek sebelumnya.",NULL,NULL,NULL,"3","7"
"403","va_3","Minat atau ketertarikan saya sering berubah dari tahun ke tahun.",NULL,NULL,NULL,"3","7"
"404","va_3","Saya tidak mudah putus asa ketika menghadapi kegagalan atau hambatan.",NULL,NULL,NULL,"3","7"
"405","va_3","Saya sangat tertarik pada suatu hal tapi kemudian kehilangan minat setelah beberapa waktu.",NULL,NULL,NULL,"3","7"
"406","va_3","Saya adalah orang yang rajin dan pekerja keras.",NULL,NULL,NULL,"3","7"
"407","va_3","Saya sering menetapkan suatu tujuan, namun kemudian memilih untuk mengejar tujuan yang berbeda.",NULL,NULL,NULL,"3","7"
"408","va_3","Saya kesulitan mempertahankan fokus pada proyek yang membutuhkan waktu lama atau lebih dari beberapa bulan untuk diselesaikan.",NULL,NULL,NULL,"3","7"
"409","va_3","Saya akan menyelesaikan apa pun yang telah saya mulai.",NULL,NULL,NULL,"3","7"
"410","va_3","Saya telah atau pernah mencapai tujuan yang membutuhkan kerja keras selama bertahun-tahun.",NULL,NULL,NULL,"3","7"
"411","va_3","Saya tertarik pada hal baru atau mengejar hal baru setiap beberapa bulan.",NULL,NULL,NULL,"3","7"
"412","va_3","Saya adalah orang yang tekun.",NULL,NULL,NULL,"3","7"
"425","va_1","RESSE","Customer Oriented","0",NULL,NULL,NULL
"426","va_1","EQESSE","Integrity","0",NULL,NULL,NULL
